in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
121,1,30,40,10,40,0,5,93155,0.3,0.3,15.1,39.6,18.5,26.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/121ScreenParallel.webp
122,2,30,40,10,40,0,5,95227,0.336,0.6,17.6,28.7,21.3,31.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/122ScreenParallel.webp
123,0,40,40,10,40,0,5,93434,0.284,0.2,10.3,36.9,24.8,27.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/123ScreenParallel.webp
124,1,40,40,10,40,0,5,94919,0.323,0.4,17.4,29.1,23.4,29.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/124ScreenParallel.webp
125,2,40,40,10,40,0,5,95227,0.336,0.6,17.6,28.7,21.3,31.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/125ScreenParallel.webp
126,0,20,50,10,40,0,5,91235,0.172,0.1,5.4,23.7,29.7,41.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/126ScreenParallel.webp
127,1,20,50,10,40,0,5,91964,0.204,0.1,7.3,28.5,31.3,32.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/127ScreenParallel.webp
128,2,20,50,10,40,0,5,96961,0.342,0,18.7,21.9,17.2,42.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/128ScreenParallel.webp
129,0,30,50,10,40,0,5,91647,0.19,0.1,6.4,25.6,27,40.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/129ScreenParallel.webp
130,1,30,50,10,40,0,5,93193,0.234,0.1,6.6,30.6,30.1,32.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/130ScreenParallel.webp
131,2,30,50,10,40,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/131ScreenParallel.webp
132,0,40,50,10,40,0,5,91342,0.203,0.1,5.5,16.9,28.2,49.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/132ScreenParallel.webp
133,1,40,50,10,40,0,5,93925,0.259,0.1,7.4,30.4,29,33.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/133ScreenParallel.webp
134,2,40,50,10,40,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/134ScreenParallel.webp
135,0,20,30,10,60,0,5,90355,0.25,0,15,34,31,20,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/135ScreenParallel.webp
136,1,20,30,10,60,0,5,90831,0.252,0,14.3,35.5,30.3,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/136ScreenParallel.webp
137,2,20,30,10,60,0,5,90985,0.298,1.6,25.7,30,18.2,24.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/137ScreenParallel.webp
138,0,30,30,10,60,0,5,89709,0.288,0,18.3,38.2,19.4,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/138ScreenParallel.webp
